№ DirsSet Sift DirNum Stack Error EndState
142 [Identifier] 1 0 -1 1 -1
143 main 1 0 -1 1 -1
144 bool_string_binary_hex_integer -1 146 -1 -1 -1
145 void -1 147 -1 1 -1
146 integer_bool_string_hex_binary -1 196 -1 1 -1
147 void 1 0 -1 1 -1
148 [EndOfInput] -1 150 -1 -1 1
149 void_bool_string_binary_hex_integer -1 151 -1 1 -1
150 [EndOfInput] -1 0 -1 1 1
151 void_bool_string_binary_hex_integer -1 131 1 1 -1
152 [EndOfInput]_void_bool_string_binary_hex_integer -1 148 -1 1 -1
153 { -1 161 -1 -1 -1
154 if -1 164 -1 -1 -1
155 while -1 170 -1 -1 -1
156 print -1 175 -1 -1 -1
157 read -1 180 -1 -1 -1
158 bool_string_binary_hex_integer -1 184 -1 -1 -1
159 [Identifier] -1 185 -1 -1 -1
160 return -1 189 -1 1 -1
161 { 1 162 -1 1 -1
162 }_print_read_bool_string_[Identifier]_binary_hex_integer_{_while_if_return -1 191 1 1 -1
163 } 1 0 -1 1 -1
164 if 1 165 -1 1 -1
165 ( 1 166 -1 1 -1
166 read_[Integer]_[Binary]_[Hexadecimal]_[FloatPointNumber]_true_false_!_-_(_[Identifier] -1 87 1 1 -1
167 ) 1 168 -1 1 -1
168 {_if_while_print_read_bool_string_binary_hex_integer_[Identifier]_return -1 153 1 1 -1
169 read_bool_string_[Identifier]_integer_while_print_binary_hex_{_if_}_return_else -1 82 -1 1 -1
170 while 1 171 -1 1 -1
171 ( 1 172 -1 1 -1
172 read_[Integer]_[Binary]_[Hexadecimal]_[FloatPointNumber]_true_false_!_-_(_[Identifier] -1 87 1 1 -1
173 ) 1 174 -1 1 -1
174 {_if_while_print_read_bool_string_binary_hex_integer_[Identifier]_return -1 153 -1 1 -1
175 print 1 176 -1 1 -1
176 ( 1 177 -1 1 -1
177 read_[Integer]_[Binary]_[Hexadecimal]_[FloatPointNumber]_true_false_!_-_(_[Identifier] -1 87 1 1 -1
178 ) 1 179 -1 1 -1
179 ; 1 0 -1 1 -1
180 read 1 181 -1 1 -1
181 ( 1 182 -1 1 -1
182 ) 1 183 -1 1 -1
183 ; 1 0 -1 1 -1
184 integer_bool_string_hex_binary -1 196 1 1 -1
185 [Identifier] 1 186 -1 1 -1
186 ;_= -1 17 -1 1 -1
187 [Identifier] 1 188 -1 1 -1
188 (_= -1 23 -1 1 -1
189 return 1 190 -1 1 -1
190 !_[Integer]_read_[Identifier]_(_false_true_[Hexadecimal]_-_[Binary]_[FloatPointNumber]_; -1 32 -1 1 -1
191 } -1 193 -1 -1 -1
192 print_read_bool_string_[Identifier]_binary_hex_integer_{_while_if_return -1 194 -1 1 -1
193 } -1 0 -1 1 -1
194 {_if_while_print_read_bool_string_binary_hex_integer_[Identifier]_return -1 153 1 1 -1
195 }_print_read_bool_string_[Identifier]_binary_hex_integer_{_while_if_return -1 191 -1 1 -1
196 integer -1 201 -1 -1 -1
197 bool -1 202 -1 -1 -1
198 string -1 203 -1 -1 -1
199 hex -1 204 -1 -1 -1
200 binary -1 205 -1 1 -1
201 integer 1 0 -1 1 -1
202 bool 1 0 -1 1 -1
203 string 1 0 -1 1 -1
204 hex 1 0 -1 1 -1
205 binary 1 0 -1 1 -1
